,wd,ws,yaw_angles_opt,ai_opt,freq_val,yaw_000,yaw_001,yaw_002,yaw_003,yaw_004,yaw_005,yaw_006,yaw_007,yaw_008,ai_000,ai_001,ai_002,ai_003,ai_004,ai_005,ai_006,ai_007,ai_008
87,275,11.5,"[1.06927326e+01 8.64878658e+00 1.15398007e+01 9.78157482e+00
 6.21692535e+00 1.62575950e+01 8.05374529e-13 6.87978120e-13
 9.26633207e-13]","[0.31461507 0.30326959 0.29991637 0.32388435 0.32388724 0.32388724
 0.33       0.33       0.32125222]",0.00035041968869689013,10.692732597364506,8.648786580510608,11.53980072966185,9.781574822244078,6.216925351781666,16.257595046951835,8.053745285299239e-13,6.879781196328798e-13,9.266332066366444e-13,0.3146150706161877,0.30326959262650094,0.299916373339801,0.3238843535843338,0.3238872410710762,0.3238872410710762,0.33,0.33,0.32125222468994263
88,275,12.0,"[1.06927730e+01 8.64867321e+00 1.15392954e+01 9.78132278e+00
 6.21772058e+00 1.62579218e+01 8.05652412e-13 6.88217070e-13
 9.26958903e-13]","[0.31461507 0.30326959 0.29991637 0.32388435 0.32388724 0.32388724
 0.33       0.33       0.32125222]",0.00027707603292313407,10.692773028534836,8.648673212256677,11.539295430901216,9.781322776900751,6.217720579981498,16.25792178162086,8.056524123567635e-13,6.882170697037865e-13,9.269589025229082e-13,0.3146150706161877,0.30326959262650094,0.299916373339801,0.3238843535843338,0.3238872410710762,0.3238872410710762,0.33,0.33,0.32125222468994263
89,275,12.5,"[1.06934792e+01 8.64969484e+00 1.15409709e+01 9.78223289e+00
 6.21497034e+00 1.62318767e+01 7.89792135e-13 6.74750710e-13
 9.08936619e-13]","[0.31461592 0.30327096 0.29989983 0.32388469 0.32388758 0.32388758
 0.33       0.33       0.31125326]",0.0002118816722353231,10.69347915756773,8.649694840629119,11.54097094293019,9.782232885680399,6.214970342667296,16.231876669504118,7.897921353508267e-13,6.747507104820118e-13,9.089366194228566e-13,0.31461591989898197,0.3032709595286092,0.2998998310556624,0.3238846911818064,0.32388757850915306,0.32388757850915306,0.33,0.33,0.3112532596094151
90,275,13.0,"[1.06934972e+01 8.64917769e+00 1.15402164e+01 9.78241738e+00
 6.21578138e+00 1.62323279e+01 7.89449739e-13 6.74458079e-13
 9.08542408e-13]","[0.31461592 0.30327096 0.29989983 0.32388469 0.32388758 0.32388758
 0.33       0.33       0.31125326]",0.00014668731154751215,10.693497218037011,8.64917768768252,11.540216359454483,9.782417375038285,6.215781381537982,16.23232787117933,7.89449738534189e-13,6.744580787723028e-13,9.085424075463388e-13,0.31461591989898197,0.3032709595286092,0.2998998310556624,0.3238846911818064,0.32388757850915306,0.32388757850915306,0.33,0.33,0.3112532596094151
91,275,13.5,"[1.06930921e+01 8.65036770e+00 1.15414673e+01 9.78129349e+00
 6.21650178e+00 1.62587991e+01 1.13593305e-12 9.71018743e-13
 1.30929467e-12]","[0.31461592 0.30327094 0.29989981 0.32388469 0.32388758 0.32388758
 0.33       0.33       0.32125326]",0.00013853801646151703,10.69309213277593,8.650367704552457,11.541467271030701,9.781293487840715,6.216501783376186,16.258799100919926,1.1359330468821316e-12,9.710187428042195e-13,1.3092946698133443e-12,0.31461592113576564,0.3032709351475236,0.2998998069455944,0.3238846916734389,0.3238875790005535,0.3238875790005535,0.33,0.33,0.3212532603125982
92,275,14.0,"[1.06935272e+01 8.64965400e+00 1.15399830e+01 9.78118353e+00
 6.21673130e+00 1.62594406e+01 1.13885103e-12 9.73560853e-13
 1.31291580e-12]","[0.31461592 0.30327094 0.29989981 0.32388469 0.32388758 0.32388758
 0.33       0.33       0.32125326]",0.0001303887213755219,10.693527171721392,8.64965400209355,11.53998298958235,9.781183534396696,6.216731303104253,16.25944063879968,1.1388510315920343e-12,9.735608532948468e-13,1.3129157998601493e-12,0.31461592113576564,0.3032709351475236,0.2998998069455944,0.3238846916734389,0.3238875790005535,0.3238875790005535,0.33,0.33,0.3212532603125982
93,275,14.5,"[1.06900306e+01 8.64742054e+00 1.15365285e+01 9.77898893e+00
 6.21253078e+00 1.62265281e+01 1.16002139e-12 9.91672713e-13
 1.33732443e-12]","[0.31461674 0.30327225 0.29988389 0.32388502 0.3238879  0.3238879
 0.33       0.33       0.31125426]",7.334365577373645e-05,10.690030596074513,8.647420538058443,11.536528542763484,9.77898892539581,6.212530777282576,16.22652813136618,1.1600213911844453e-12,9.916727133320907e-13,1.3373244277825351e-12,0.31461673846508,0.3032722501532144,0.2998838874791546,0.3238850165691188,0.32388790374283466,0.32388790374283466,0.33,0.33,0.31125425629422504
94,275,15.0,"[1.06900306e+01 8.64742052e+00 1.15365285e+01 9.77898890e+00
 6.21253076e+00 1.62265281e+01 1.16002139e-12 9.91672712e-13
 1.33732443e-12]","[0.31461674 0.30327225 0.29988389 0.32388502 0.3238879  0.3238879
 0.33       0.33       0.31125426]",1.6298590171951e-05,10.690030572903915,8.647420524499617,11.536528522168757,9.77898890419989,6.212530764674875,16.226528139545167,1.1600213891900178e-12,9.916727116379824e-13,1.3373244255339913e-12,0.31461673846508,0.3032722501532144,0.2998838874791546,0.3238850165691188,0.32388790374283466,0.32388790374283466,0.33,0.33,0.31125425629422504
95,275,15.5,"[1.06914430e+01 8.64890296e+00 1.15391973e+01 9.78005413e+00
 6.21711945e+00 1.62603086e+01 1.93804849e-12 1.66431846e-12
 2.25837698e-12]","[0.31461674 0.30327225 0.29988389 0.32388502 0.3238879  0.3238879
 0.33       0.33       0.32125426]",8.1492950859755e-06,10.69144299016187,8.648902957427111,11.53919734538648,9.7800541258201,6.217119447287662,16.26030863375407,1.9380484908240376e-12,1.6643184607325808e-12,2.258376981877957e-12,0.31461673846508,0.3032722501532144,0.2998838874791546,0.3238850165691188,0.32388790374283466,0.32388790374283466,0.33,0.33,0.32125425629422505
96,280,8.0,"[2.47436942 0.         0.         1.8841961  0.         0.
 0.         0.         0.        ]","[0.31461674 0.30327225 0.29988389 0.32388502 0.3238879  0.3238879
 0.33       0.33       0.31125426]",0.0005052562953303974,2.474369418473048,0.0,0.0,1.8841960961356774,0.0,0.0,0.0,0.0,0.0,0.31461673846508,0.3032722501532144,0.2998838874791546,0.3238850165691188,0.32388790374283466,0.32388790374283466,0.33,0.33,0.31125425629422504
